Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Верховинець;Мирослав;Володимирович;Чоловіча;2003-04-07;Стоматолог;хутір Ямпіль;площа Ждахи, буд. 7;+380 62 829-73-39;qpryimak@example.org
Павленко;Станіслав;Григорович;Чоловіча;2008-03-12;Доцент;хутір Краматорськ;узвіз Трусовська, буд. 99;+380 61 400-96-37;sbatih@example.org
Савенко;Олена;Андріївна;Жіноча;1944-12-15;Диригент;село Звенигородка;сквер Яблунева, буд. 0;+380 45 316-21-26;martyn76@example.org
Ґалаґан;Яків;Романович;Чоловіча;1994-02-03;Графік;селище Чуднів;узвіз 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 087 кв. 552;+380 (63) 138-39-44;svyrydenkomakar@example.org
Швачка;Розалія;Олександрівна;Жіноча;1965-07-17;Ріелтор;село Шептицький;набережна Покровський, буд. 455 кв. 890;078 062-85-99;shutkoihnat@example.net
Скоробогатько;Ганна;Ігорівна;Жіноча;1997-01-04;Фрілансер;селище Ямпіль;парк Солонцюватий, буд. 9 кв. 021;955-45-64;varkhymovych@example.com
Дробʼязко;Хома;Григорович;Чоловіча;1938-10-17;Кінолог;селище Кременчук;провулок Армійська, буд. 6;+380 35 332-72-49;akymenkobohdanna@example.net
Валенко;Єва;Петрівна;Жіноча;1973-01-20;Архітектор;селище Вільногірськ;вулиця Довга, буд. 9;+380 (24) 950-26-76;xlevchenko@example.net
Журба;Богданна;Дмитрівна;Жіноча;1996-08-01;Фрілансер;селище Рені;узвіз Красива, буд. 496 кв. 438;891-49-00;vertyporokhoksana@example.net
Батюк;Пармен;Михайлович;Чоловіча;2008-06-23;Маркетолог;місто Острог;вулиця Флотський 4-й, буд. 7 кв. 90;+380 34 279-71-86;ipavlyk@example.com
Романчук;Петро;Вікторович;Чоловіча;1970-01-29;Кінорежисер;село Сімферополь;сквер Матроський, буд. 3 кв. 78;021 735-08-03;iosyp33@example.org
Литвин;Іван;Богданович;Чоловіча;2006-10-20;Футболіст;селище Берестечко;проспект Проектований 3-й, буд. 3;601-03-41;hlibtereshchenko@example.net
